Date,Timestamp,Num_Epochs,Learning Rate,# Hidden Layers,Hidden Layer Structure,Epoch,Avg. Raw Error,Avg. Ripe Error,Avg. Real Error
2020/01/23,12:38:59,5,0.750000,2,'10-10,1,5.164156,5.759649,4.535088
,,,,,,2,2.972690,3.935088,4.301754
,,,,,,3,2.903410,3.894737,4.243860
,,,,,,4,2.882335,3.890351,4.233333
,,,,,,5,2.874464,3.883333,4.229825
2020/01/23,12:49:23,5,0.750000,3,'5-4-3,1,3.237746,4.281579,4.159649
,,,,,,2,2.646588,3.652632,3.903509
,,,,,,3,2.608024,3.564912,3.871930
,,,,,,4,2.595279,3.546491,3.835088
,,,,,,5,2.589244,3.530702,3.824561
2020/01/23,12:56:09,5,0.750000,4,'7-2-2-1,1,2.854543,3.860526,3.945614
,,,,,,2,2.572799,3.512281,3.807018
,,,,,,3,2.539732,3.464912,3.691228
,,,,,,4,2.522534,3.433333,3.694737
,,,,,,5,2.514194,3.390351,3.694737
2020/01/23,13:05:09,5,0.750000,4,'4-3-2-1,1,2.888413,3.985965,4.136842
,,,,,,2,2.616094,3.605263,3.931579
,,,,,,3,2.579448,3.503509,3.877193
,,,,,,4,2.558093,3.445614,3.849123
,,,,,,5,2.544142,3.405263,3.845614
